0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /home.html HTTP/1.1" 200 2331 66(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /js/custom.js HTTP/1.1" 200 1930 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /js/bootstrap.js HTTP/1.1" 200 76511 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:58 -0700] "GET /js/jquery-3.2.0.js HTTP/1.1" 200 377070 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:32:59 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 48(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:01 -0700] "POST /share HTTP/1.1" 200 1198511 283(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:10 -0700] "GET /users HTTP/1.1" 200 897073 34(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:19 -0700] "GET null null" 400 - 0(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:54 -0700] "GET /home.html HTTP/1.1" 200 2331 4(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:54 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 5(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:54 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 3(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:33:55 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 4(ms)
